player,tourney,date,elo,surface,year,month,day
Alexander Zverev,Internazionali BNL d'Italia,2019.05.12,1474.5890512201806,Clay,2019,5.0,12.0
Alexander Zverev,Banque Eric Sturdza Geneva Open,2019.05.19,1509.801945833249,Clay,2019,5.0,19.0
Alexander Zverev,Roland Garros,2019.05.26,1545.3612317235118,Clay,2019,5.0,26.0
Alexander Zverev,MercedesCup,2019.06.10,1508.9047559233456,Grass,2019,6.0,10.0
Alexander Zverev,NOVENTI OPEN,2019.06.17,1499.268017948362,Grass,2019,6.0,17.0
Alexander Zverev,Wimbledon,2019.07.01,1465.1389401974716,Grass,2019,7.0,1.0
Alexander Zverev,Hamburg European Open,2019.07.22,1483.9587440877044,Clay,2019,7.0,22.0
Alexander Zverev,Coupe Rogers,2019.08.05,1492.2612678502685,Hard,2019,8.0,5.0
Alexander Zverev,Western & Southern Open,2019.08.11,1465.379615844519,Hard,2019,8.0,11.0
Alexander Zverev,US Open,2019.08.26,1484.5789833385559,Hard,2019,8.0,26.0
Alexander Zverev,China Open,2019.09.30,1507.5868630637913,Hard,2019,9.0,30.0
Alexander Zverev,Rolex Shanghai Masters,2019.10.06,1582.4998784112615,Hard,2019,10.0,6.0
Alexander Zverev,Swiss Indoors Basel,2019.10.21,1550.2877785137534,Hard,2019,10.0,21.0
Alexander Zverev,Rolex Paris Masters,2019.10.28,1535.2676895828067,Hard,2019,10.0,28.0
Alexander Zverev,Nitto ATP Finals,2019.11.10,1570.61003679784,Hard,2019,11.0,10.0
Daniil Medvedev,Moscow,2013.10.14,979.7260637576567,Hard,2013,10.0,14.0
Daniil Medvedev,Moscow,2014.10.13,985.1108465594104,Hard,2014,10.0,13.0
Daniil Medvedev,Marseille,2015.02.16,996.3590952792492,Hard,2015,2.0,16.0
Daniil Medvedev,Nice,2015.05.17,992.9464629449291,Clay,2015,5.0,17.0
Daniil Medvedev,Gstaad,2015.07.27,1020.4350478198294,Clay,2015,7.0,27.0
Daniil Medvedev,Moscow,2015.10.19,1012.580714696207,Hard,2015,10.0,19.0
Daniil Medvedev,ATP Masters 1000 Monte Carlo,2016.04.10,1004.7460360872694,Clay,2016,4.0,10.0
Daniil Medvedev,Nice,2016.05.15,1040.1911442483872,Clay,2016,5.0,15.0
Daniil Medvedev,s-Hertogenbosch,2016.06.06,1113.0206950174604,Grass,2016,6.0,6.0
Daniil Medvedev,Wimbledon,2016.06.27,1124.6746961787655,Grass,2016,6.0,27.0
Daniil Medvedev,Hamburg,2016.07.11,1154.973751836117,Clay,2016,7.0,11.0
Daniil Medvedev,US Open,2016.08.29,1126.9130150593774,Hard,2016,8.0,29.0
Daniil Medvedev,St. Petersburg,2016.09.19,1160.0802407055369,Hard,2016,9.0,19.0
Daniil Medvedev,Moscow,2016.10.17,1222.8394292585026,Hard,2016,10.0,17.0
Daniil Medvedev,Chennai,2017.01.02,1293.8646820142724,Hard,2017,1.0,2.0
Daniil Medvedev,Australian Open,2017.01.16,1269.3517544060485,Hard,2017,1.0,16.0
Daniil Medvedev,Montpellier,2017.02.06,1307.802749383752,Hard,2017,2.0,6.0
Daniil Medvedev,Marseille,2017.02.20,1336.5112438118715,Hard,2017,2.0,20.0
Daniil Medvedev,Dubai,2017.02.27,1324.9324840180116,Hard,2017,2.0,27.0
Daniil Medvedev,ATP Masters 1000 Indian Wells,2017.03.09,1300.069643135463,Hard,2017,3.0,9.0
Daniil Medvedev,ATP Masters 1000 Monte Carlo,2017.04.16,1279.8385992974822,Clay,2017,4.0,16.0
Daniil Medvedev,Budapest,2017.04.24,1252.7981900755447,Clay,2017,4.0,24.0
Daniil Medvedev,Lyon,2017.05.21,1240.7301346235201,Clay,2017,5.0,21.0
Daniil Medvedev,Roland Garros,2017.05.28,1208.7335931845175,Clay,2017,5.0,28.0
Daniil Medvedev,s-Hertogenbosch,2017.06.12,1271.3869432576678,Grass,2017,6.0,12.0
Daniil Medvedev,London - Queen's Club,2017.06.19,1302.7430814384707,Grass,2017,6.0,19.0
Daniil Medvedev,Eastbourne,2017.06.26,1374.195643730318,Grass,2017,6.0,26.0
Daniil Medvedev,Wimbledon,2017.07.03,1375.7880550419065,Grass,2017,7.0,3.0
Daniil Medvedev,Washington,2017.07.31,1424.3699090800126,Hard,2017,7.0,31.0
Daniil Medvedev,ATP Masters 1000 Canada,2017.08.07,1403.9457411176154,Hard,2017,8.0,7.0
Daniil Medvedev,ATP Masters 1000 Cincinnati,2017.08.13,1388.3823967811184,Hard,2017,8.0,13.0
Daniil Medvedev,Winston-Salem,2017.08.20,1366.2878468817914,Hard,2017,8.0,20.0
Daniil Medvedev,US Open,2017.08.28,1340.1661225826813,Hard,2017,8.0,28.0
Daniil Medvedev,St. Petersburg,2017.09.18,1309.9076170975745,Hard,2017,9.0,18.0
Daniil Medvedev,Tokyo,2017.10.02,1297.16339633221,Hard,2017,10.0,2.0
Daniil Medvedev,ATP Masters 1000 Shanghai,2017.10.08,1283.5373441323793,Hard,2017,10.0,8.0
Daniil Medvedev,Moscow,2017.10.16,1301.5795577681054,Hard,2017,10.0,16.0
Daniil Medvedev,ATP Masters 1000 Paris,2017.10.30,1269.640107890768,Hard,2017,10.0,30.0
Daniil Medvedev,Next Gen ATP Finals,2017.11.07,1298.4498467962724,Hard,2017,11.0,7.0
Daniil Medvedev,Sydney,2018.01.07,1407.9530824840458,Hard,2018,1.0,7.0
Daniil Medvedev,Australian Open,2018.01.15,1404.676354523979,Hard,2018,1.0,15.0
Daniil Medvedev,Montpellier,2018.02.05,1388.6366456227172,Hard,2018,2.0,5.0
Daniil Medvedev,Rotterdam,2018.02.12,1411.6388016906174,Hard,2018,2.0,12.0
Daniil Medvedev,ATP Masters 1000 Indian Wells,2018.03.08,1406.4336616390472,Hard,2018,3.0,8.0
Daniil Medvedev,ATP Masters 1000 Miami,2018.03.21,1406.3399841722887,Hard,2018,3.0,21.0
Daniil Medvedev,ATP Masters 1000 Monte Carlo,2018.04.15,1407.2215552402613,Clay,2018,4.0,15.0
Daniil Medvedev,Estoril,2018.04.30,1381.454560627648,Clay,2018,4.0,30.0
Daniil Medvedev,ATP Masters 1000 Madrid,2018.05.06,1363.5528818098594,Clay,2018,5.0,6.0
Daniil Medvedev,ATP Masters 1000 Rome,2018.05.13,1339.2238694565588,Clay,2018,5.0,13.0
Daniil Medvedev,Roland Garros,2018.05.27,1323.4346800513008,Clay,2018,5.0,27.0
Daniil Medvedev,s-Hertogenbosch,2018.06.11,1324.3323439211242,Grass,2018,6.0,11.0
Daniil Medvedev,London - Queen's Club,2018.06.18,1329.587677490594,Grass,2018,6.0,18.0
Daniil Medvedev,Wimbledon,2018.07.02,1356.8599463058638,Grass,2018,7.0,2.0
Daniil Medvedev,Washington,2018.07.30,1342.1116151042904,Hard,2018,7.0,30.0
Daniil Medvedev,ATP Masters 1000 Canada,2018.08.06,1379.6804390121524,Hard,2018,8.0,6.0
Daniil Medvedev,ATP Masters 1000 Cincinnati,2018.08.12,1390.1069187127327,Hard,2018,8.0,12.0
Daniil Medvedev,Winston-Salem,2018.08.19,1474.267143424667,Hard,2018,8.0,19.0
Daniil Medvedev,US Open,2018.08.27,1488.9177641609342,Hard,2018,8.0,27.0
Daniil Medvedev,St. Petersburg,2018.09.17,1488.550252257437,Hard,2018,9.0,17.0
Daniil Medvedev,Tokyo,2018.10.01,1592.452749162291,Hard,2018,10.0,1.0
Daniil Medvedev,ATP Masters 1000 Shanghai,2018.10.07,1584.5519686297089,Hard,2018,10.0,7.0
Daniil Medvedev,Moscow,2018.10.15,1573.6198576784002,Hard,2018,10.0,15.0
Daniil Medvedev,Basel,2018.10.22,1595.3950161517191,Hard,2018,10.0,22.0
Daniil Medvedev,ATP Masters 1000 Paris,2018.10.29,1583.2962731811006,Hard,2018,10.0,29.0
Daniil Medvedev,Brisbane International,2018.12.31,1592.6347933563886,Hard,2018,12.0,31.0
Daniil Medvedev,Australian Open,2019.01.14,1608.2818760976868,Hard,2019,1.0,14.0
Daniil Medvedev,Sofia Open,2019.02.04,1646.1580575402609,Hard,2019,2.0,4.0
Daniil Medvedev,ABN AMRO World Tennis Tournament,2019.02.11,1647.5232580347274,Hard,2019,2.0,11.0
Daniil Medvedev,Dubai Duty Free Tennis Championships,2019.02.25,1611.641863902106,Hard,2019,2.0,25.0
Daniil Medvedev,BNP Paribas Open,2019.03.07,1587.5197445917609,Hard,2019,3.0,7.0
Daniil Medvedev,Miami Open presented by Itau,2019.03.20,1590.6800464714775,Hard,2019,3.0,20.0
Daniil Medvedev,Rolex Monte-Carlo Masters,2019.04.14,1624.1359524098639,Clay,2019,4.0,14.0
Daniil Medvedev,Barcelona Open Banc Sabadell,2019.04.22,1632.8765376647198,Clay,2019,4.0,22.0
Daniil Medvedev,Mutua Madrid Open,2019.05.05,1602.2320678790318,Clay,2019,5.0,5.0
Daniil Medvedev,Internazionali BNL d'Italia,2019.05.12,1576.00020276839,Clay,2019,5.0,12.0
Daniil Medvedev,Roland Garros,2019.05.26,1547.134626472526,Clay,2019,5.0,26.0
Daniil Medvedev,MercedesCup,2019.06.10,1515.607887391709,Grass,2019,6.0,10.0
Daniil Medvedev,Fever-Tree Championships,2019.06.17,1524.8947842155044,Grass,2019,6.0,17.0
Daniil Medvedev,Wimbledon,2019.07.01,1512.9459409173326,Grass,2019,7.0,1.0
Daniil Medvedev,Citi Open,2019.07.27,1526.4384323658655,Hard,2019,7.0,27.0
Daniil Medvedev,Coupe Rogers,2019.08.05,1585.325989803296,Hard,2019,8.0,5.0
Daniil Medvedev,Western & Southern Open,2019.08.11,1673.7184354095746,Hard,2019,8.0,11.0
Daniil Medvedev,US Open,2019.08.26,1693.6424250950124,Hard,2019,8.0,26.0
Daniil Medvedev,St. Petersburg Open,2019.09.15,1714.2680357738516,Hard,2019,9.0,15.0
Daniil Medvedev,Rolex Shanghai Masters,2019.10.06,1755.1391906623196,Hard,2019,10.0,6.0
Daniil Medvedev,Rolex Paris Masters,2019.10.28,1721.1039582230887,Hard,2019,10.0,28.0
Daniil Medvedev,Nitto ATP Finals,2019.11.10,1655.9022216095934,Hard,2019,11.0,10.0
Dominic Thiem,Vienna,2010.10.25,989.5098830916053,Hard,2010,10.0,25.0
Dominic Thiem,Kitzbühel,2011.07.31,980.2502761685056,Clay,2011,7.0,31.0
Dominic Thiem,Bangkok,2011.09.26,973.7747150645447,Hard,2011,9.0,26.0
Dominic Thiem,Vienna,2011.10.24,996.961825725906,Hard,2011,10.0,24.0
Dominic Thiem,Kitzbühel,2012.07.22,982.3933661133377,Clay,2012,7.0,22.0
Dominic Thiem,Winston-Salem,2012.08.19,973.4986301090449,Hard,2012,8.0,19.0
Dominic Thiem,Vienna,2012.10.15,997.3460062340176,Hard,2012,10.0,15.0
Dominic Thiem,Valencia,2012.10.21,988.1084668839245,Hard,2012,10.0,21.0
Dominic Thiem,Casablanca,2013.04.08,1019.7851119630644,Clay,2013,4.0,8.0
Dominic Thiem,Bucharest,2013.04.22,1011.592251694331,Clay,2013,4.0,22.0
Dominic Thiem,Kitzbühel,2013.07.28,1069.2940284691085,Clay,2013,7.0,28.0
Dominic Thiem,Vienna,2013.10.14,1108.9926263079926,Hard,2013,10.0,14.0
Dominic Thiem,Doha,2013.12.30,1153.6064587622834,Hard,2013,12.0,30.0
Dominic Thiem,Australian Open,2014.01.13,1221.227594372317,Hard,2014,1.0,13.0
Dominic Thiem,Rotterdam,2014.02.10,1266.8433095670641,Hard,2014,2.0,10.0
Dominic Thiem,Acapulco,2014.02.24,1251.8189053250567,Hard,2014,2.0,24.0
Dominic Thiem,ATP Masters 1000 Indian Wells,2014.03.06,1290.1754422511844,Hard,2014,3.0,6.0
Dominic Thiem,ATP Masters 1000 Miami,2014.03.19,1323.3414318269895,Hard,2014,3.0,19.0
Dominic Thiem,ATP Masters 1000 Monte Carlo,2014.04.13,1302.301713213458,Clay,2014,4.0,13.0
Dominic Thiem,Barcelona,2014.04.21,1334.4295043162485,Clay,2014,4.0,21.0
Dominic Thiem,ATP Masters 1000 Madrid,2014.05.04,1398.8594467868168,Clay,2014,5.0,4.0
Dominic Thiem,Nice,2014.05.18,1388.096210076917,Clay,2014,5.0,18.0
Dominic Thiem,Roland Garros,2014.05.26,1403.6556756626144,Clay,2014,5.0,26.0
Dominic Thiem,London - Queen's Club,2014.06.09,1376.1239572239992,Grass,2014,6.0,9.0
Dominic Thiem,Wimbledon,2014.06.23,1340.3570657559362,Grass,2014,6.0,23.0
Dominic Thiem,Hamburg,2014.07.14,1353.9163992048775,Clay,2014,7.0,14.0
Dominic Thiem,Gstaad,2014.07.21,1332.493085101592,Clay,2014,7.0,21.0
Dominic Thiem,Kitzbühel,2014.07.27,1370.1015153432359,Clay,2014,7.0,27.0
Dominic Thiem,ATP Masters 1000 Canada,2014.08.04,1349.012665388842,Hard,2014,8.0,4.0
Dominic Thiem,ATP Masters 1000 Cincinnati,2014.08.10,1322.070664248646,Hard,2014,8.0,10.0
Dominic Thiem,US Open,2014.08.25,1387.4988073218615,Hard,2014,8.0,25.0
Dominic Thiem,Tokyo,2014.09.29,1372.3561016024412,Hard,2014,9.0,29.0
Dominic Thiem,ATP Masters 1000 Shanghai,2014.10.05,1391.7241141611084,Hard,2014,10.0,5.0
